,TCGA-55-6986-01A-11R-1949-07,TCGA-86-8668-01A-11R-2403-07,TCGA-86-8075-01A-11R-2241-07,TCGA-49-4501-01A-01R-1206-07,TCGA-62-8397-01A-11R-2326-07,TCGA-86-8671-01A-11R-2403-07,TCGA-73-7499-01A-11R-2187-07,TCGA-86-A4P8-01A-11R-A24X-07,TCGA-J2-8192-01A-11R-2241-07,TCGA-38-6178-01A-11R-1755-07,TCGA-97-8547-01A-11R-2403-07,TCGA-05-4402-01A-01R-1206-07,TCGA-97-8177-01A-11R-2287-07,TCGA-55-7816-01A-11R-2170-07,TCGA-86-8278-01A-11R-2287-07,TCGA-55-6982-01A-11R-1949-07,TCGA-50-6597-01A-11R-1858-07,TCGA-91-8496-01A-11R-2403-07,TCGA-78-7540-01A-11R-2066-07,TCGA-86-7953-01A-11R-2187-07,TCGA-55-A57B-01A-12R-A39D-07,TCGA-67-6215-01A-11R-1755-07,TCGA-91-8497-01A-11R-2403-07,TCGA-44-3919-01A-02R-1107-07,TCGA-71-8520-01A-11R-2403-07,TCGA-67-6216-01A-11R-1755-07,TCGA-86-8280-01A-11R-2287-07,TCGA-78-7143-01A-11R-2039-07,TCGA-86-A4P7-01A-11R-A24X-07,TCGA-38-4628-01A-01R-1206-07,TCGA-44-2661-01A-01R-1107-07,TCGA-55-8505-01A-11R-2403-07,TCGA-93-A4JP-01A-11R-A24X-07,TCGA-55-6980-01A-11R-1949-07,TCGA-86-7713-01A-11R-2066-07,TCGA-86-8279-01A-11R-2287-07,TCGA-86-6562-01A-11R-1755-07,TCGA-95-8039-01A-11R-2241-07,TCGA-86-7701-01A-11R-2170-07,TCGA-86-8076-01A-31R-2241-07,TCGA-35-3615-01A-01R-0946-07,TCGA-05-5429-01A-01R-1628-07,TCGA-86-7955-01A-11R-2187-07,TCGA-50-5066-01A-01R-1628-07,TCGA-86-8672-01A-21R-2403-07,TCGA-86-8585-01A-11R-2403-07,TCGA-55-7815-01A-11R-2170-07,TCGA-55-8206-01A-11R-2241-07,TCGA-55-6978-01A-11R-1949-07,TCGA-69-7760-01A-11R-2170-07
ENSG00000166049,0,0,0,0,0,0,0,0,0,0,0,25,0,1,2,0,0,0,0,0,479,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000139219,1,6,38,52,0,5,0,6,33,18,5,108,7,6,4,1,8,1,0,4,6,1,65,3,125,1,54,4,3,208,5,4,3,4,71,14,12,17,1,6,0,5,2,2,3,7,0,3,6,5
ENSG00000170370,0,0,9,5,0,4,5,0,2,1,4,0,2,90,2,1,0,0,0,4,0,1,1,0,2,1,1,0,0,12,0,1,0,0,0,0,0,0,1,2,0,0,0,0,5,0,2,2,1,0
ENSG00000175766,0,0,1,1,0,0,4,0,0,0,452,1,6,16,19,0,1,22,0,0,0,8,0,1,0,2,3,30,5,0,0,0,0,4,0,3,1,2,0,0,0,0,0,0,0,1,0,0,1,0
ENSG00000183166,4,0,0,4,0,1,0,14,1,1,2,3,2,8,3,1,0,0,0,5,14,0,0,1,6,0,2,0,6,8,1,0,15,1,1,1,1,4,0,0,3,0,0,0,1,0,0,5,1,0
ENSG00000242366,0,0,0,34,0,0,0,0,26,0,241,29,0,0,4,0,1,0,6,0,9,111,1,9,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1
ENSG00000238269,1,0,1,0,0,1,1,1,0,0,2,168,4,0,0,0,3,0,0,0,1027,1,0,3,0,0,1,1,0,0,1,2,0,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0
ENSG00000157851,1,0,27,18,0,1,3,1,3,1,1,1,1,0,1,1,0,2,9,22,0,1,0,0,0,1,4,2,0,3,1,0,1,2,0,0,0,0,0,1,1,0,0,2,1,1,4,1,0,6
ENSG00000229847,1,0,9,7,0,1,11,0,8,3,6,0,11,246,2,0,0,3,1,6,0,1,0,0,4,1,4,2,0,2,2,3,2,0,1,3,9,1,0,1,0,1,0,2,9,1,0,3,1,0
ENSG00000136110,1,1,2,126,1,1,3,25,5510,1577,0,6,15,0,27,3,73,4,5,40,0,2,194,0,1,57,8,0,103,1732,4,1,6,0,1,14,1,3,1,27,1,2,0,4,0,0,2,19,0,493
ENSG00000177108,6,0,1,12,0,0,0,7,1,2,0,0,1,0,2,0,1,0,0,2,3,1,10,0,8,0,2,0,5,28,0,1,0,0,1,1,1,1,1,1,2,0,0,0,0,0,0,1,1,0
ENSG00000248300,1,0,0,1,0,2,0,1,0,0,0,1,0,514,2,0,0,1,0,2,2,0,4,2,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000142515,0,0,0,3,0,1,53,2,2,0,0,0,4,0,0,0,0,0,3,152,0,0,8,0,2,1,0,9,1,1,0,0,1,0,1,0,1,1,1,2,0,1,0,0,1,0,0,1,0,2
ENSG00000125255,2,14,0,33,18,11,0,3,0,0,0,3,54,0,0,0,0,1,2,6,1,1,18,4,2,0,30,0,4,0,4,0,0,1,0,2,2,0,1,1,1,8,2,15,0,0,0,5,4,0
ENSG00000230805,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270816,0,0,0,5,0,1,33,1,0,0,0,674,0,21,6,0,0,0,0,1,614,0,0,2,0,2,2,3,1,1,0,0,11,0,0,0,1,1,4,7,0,0,0,3,0,0,0,0,1,0
ENSG00000161055,1381,74662,4290,25195,84,19271,158685,14823,13811,364,68,9158,147587,88,145,2119,538,1217809,220,519,1201,315,19146,32349,192,4451,39974,8104,6708,29154,20563,37,651,987,155,2503,1888,2643,229,9992,1456,674,155,1321,49,2373,2,10212,622,21
ENSG00000092054,0,1,0,1,0,20,3345,1,6,1,0,5,8,6,1,10,3,0,0,1,0,0,0,10,0,0,4,1,0,1,2,0,0,0,3,0,1,15,0,10,1,2,2,1,1,1,0,2,5,1
ENSG00000253593,2,2,0,24,533,91,2,148,9,0,0,0,734,8,328,0,0,21,2,5,109,100,2,3,5,245,13,1,6,1,223,4,0,3,1,2,0,8,2,4,4,0,1,10,4,2,2,11,1,2
ENSG00000152092,15,14,16,78,6,66,37,10,42,6,5,11,4,2574,32,2,6,2,7,9,22,3,41,26,5,12,21,4,8,1,7,0,15,4,2,1,3,12,5,10,4,1,3,11,0,1,0,42,4,5
ENSG00000169594,51,8,3,81,1,22,4,2,43,28,4,36,9,19682,3,1,0,3,12,2,9,3,3,2,4,80,25,8,6,5,14,10,6,5,0,2,4,8,5,6,0,8,0,2,1,4,2,13,40,29
ENSG00000204248,7,92,210,79,37,50,41,242,82,294,35,112,50,43,238,17,239,5,31,47,547,23,59,39,38,34,141,98,113,29,25,51,124,13,30,148,5,80,4,68,24,5,37,40,56,44,0,145,34,61
