,TCGA-55-6986-01A-11R-1949-07,TCGA-55-8619-01A-11R-2403-07,TCGA-44-2665-01A-01R-0946-07,TCGA-97-A4M6-01A-11R-A24X-07,TCGA-62-A46Y-01A-11R-A24H-07,TCGA-73-7499-01A-11R-2187-07,TCGA-49-4512-01A-21R-1858-07,TCGA-44-2661-01A-01R-1107-07,TCGA-38-6178-01A-11R-1755-07,TCGA-05-5715-01A-01R-1628-07,TCGA-97-8552-01A-11R-2403-07,TCGA-86-8278-01A-11R-2287-07,TCGA-55-8513-01A-11R-2403-07,TCGA-38-4630-01A-01R-1206-07,TCGA-55-6982-01A-11R-1949-07,TCGA-86-7953-01A-11R-2187-07,TCGA-62-8397-01A-11R-2326-07,TCGA-55-8087-01A-11R-2241-07,TCGA-50-6591-01A-11R-1755-07,TCGA-67-3772-01A-01R-0946-07,TCGA-86-8280-01A-11R-2287-07,TCGA-49-4501-01A-01R-1206-07,TCGA-99-8033-01A-11R-2241-07,TCGA-05-4402-01A-01R-1206-07,TCGA-55-A57B-01A-12R-A39D-07,TCGA-67-6216-01A-11R-1755-07,TCGA-62-8402-01A-11R-2326-07,TCGA-67-6215-01A-11R-1755-07,TCGA-91-8497-01A-11R-2403-07,TCGA-97-8177-01A-11R-2287-07,TCGA-86-A4P7-01A-11R-A24X-07,TCGA-55-8505-01A-11R-2403-07,TCGA-86-6562-01A-11R-1755-07,TCGA-55-6978-01A-11R-1949-07,TCGA-86-7955-01A-11R-2187-07,TCGA-95-8039-01A-11R-2241-07,TCGA-50-5066-01A-01R-1628-07,TCGA-35-3615-01A-01R-0946-07,TCGA-86-8585-01A-11R-2403-07,TCGA-05-5429-01A-01R-1628-07,TCGA-55-8206-01A-11R-2241-07,TCGA-69-7760-01A-11R-2170-07,TCGA-55-6980-01A-11R-1949-07,TCGA-93-A4JP-01A-11R-A24X-07,TCGA-86-7701-01A-11R-2170-07,TCGA-86-7713-01A-11R-2066-07,TCGA-86-8076-01A-31R-2241-07,TCGA-86-8279-01A-11R-2287-07,TCGA-55-7815-01A-11R-2170-07,TCGA-86-8672-01A-21R-2403-07
ENSG00000175766,0,0,1,0,3,4,3,0,0,0,6,19,0,3,0,0,0,1,0,0,3,1,3,1,0,2,0,8,0,6,5,0,1,1,0,2,0,0,1,0,0,0,4,0,0,0,0,3,0,0
ENSG00000183166,4,4,12,2,0,0,1,1,1,1,3,3,1,818,1,5,0,3,3600,2,2,4,2,3,14,0,0,0,0,2,6,0,1,1,0,4,0,3,0,0,5,0,1,15,0,1,0,1,0,1
ENSG00000242366,0,2,0,0,2,0,0,0,0,1123,1,4,1,0,0,0,0,0,0,1,0,34,3,29,9,0,7,111,1,0,0,3,0,0,0,0,0,0,0,17,0,1,0,0,0,2,0,0,0,0
ENSG00000238269,1,0,0,0,2,1,1,1,0,0,1,0,1,5,0,0,0,0,0,0,1,0,1,168,1027,0,0,1,0,4,0,2,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ENSG00000157851,1,5,1,1,0,3,0,1,1,0,1,1,1,2514,1,22,0,3,1463,4,4,18,3,1,0,1,0,1,0,1,0,0,0,0,0,0,2,1,1,0,1,6,2,1,0,0,1,0,4,1
ENSG00000229847,1,0,8,0,0,11,3,2,3,1,0,2,2,10122,0,6,0,1,59,3,4,7,3,0,0,1,0,1,0,11,0,3,9,1,0,1,2,0,1,1,3,0,0,2,0,1,1,3,0,9
ENSG00000136110,1,3,78388,12,2,3,7,4,1577,18,119,27,0,29,3,40,1,4,517,1602,8,126,0,6,0,57,1,2,194,15,103,1,1,0,0,3,4,1,0,2,19,493,0,6,1,1,27,14,2,0
ENSG00000177108,6,4,0,1,1,0,3,0,2,0,2,2,2,17,0,2,0,0,14,2,2,12,0,0,3,0,992,1,10,1,5,1,1,1,0,1,0,2,0,0,1,0,0,0,1,1,1,1,0,0
ENSG00000248300,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,1,152,0,1,1,0,1,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
ENSG00000142515,0,1,0,0,0,53,0,0,0,0,1,0,1,0,0,152,0,0,0,0,0,3,0,0,0,1,0,0,8,4,1,0,1,0,0,1,0,0,0,1,1,2,0,1,1,1,2,0,0,1
ENSG00000125255,2,4,0,0,0,0,0,4,0,24,2,0,6,2,0,6,18,11385,5,0,30,33,0,3,1,0,2,1,18,54,4,0,2,4,2,0,15,1,0,8,5,0,1,0,1,0,1,2,0,0
ENSG00000230805,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,94,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270816,0,0,0,2,0,33,0,0,0,0,0,6,0,77,0,1,0,5,0,1,2,5,1,674,614,2,3,0,0,0,1,0,1,1,0,1,3,0,0,0,0,0,0,11,4,0,7,0,0,0
ENSG00000161055,1381,4886,140,1565,7760,158685,4380,20563,364,766,109471,145,11535,32,2119,519,84,51022,1633,51508,39974,25195,715,9158,1201,4451,5706,315,19146,147587,6708,37,1888,622,155,2643,1321,1456,2373,674,10212,21,987,651,229,155,9992,2503,2,49
ENSG00000092054,0,1,0,9,5,3345,1,2,1,5,6,1,1,142,10,1,0,0,1,1,4,1,1,5,0,0,19,0,0,8,0,0,1,5,2,15,1,1,1,2,2,1,0,0,0,3,10,0,0,1
ENSG00000253593,2,3,5,2,3,2,3,223,0,3,0,328,0,1,0,5,533,10,0,96,13,24,1,0,109,245,1,100,2,734,6,4,0,1,1,8,10,4,2,0,11,2,3,0,2,1,4,2,2,4
ENSG00000152092,15,6,18,23,2,37,6,7,6,2,11,32,10,166,2,9,6,8,4017,12,21,78,1,11,22,12,0,3,41,4,8,0,3,4,3,12,11,4,1,1,42,5,4,15,5,2,10,1,0,0
ENSG00000169594,51,4,6,1,5,4,4,14,28,0,3,3,4,15,1,2,1,0,20,9,25,81,8,36,9,80,3,3,3,9,6,10,4,40,0,8,2,0,4,8,13,29,5,6,5,0,6,2,2,1
ENSG00000204248,7,62,81,115,41,41,27,25,294,4,107,238,81,544,17,47,37,48,38012,15,141,79,462,112,547,34,48,23,59,50,113,51,5,34,37,80,40,24,44,5,145,61,13,124,4,30,68,148,0,56
