,TCGA-86-8280-01A-11R-2287-07,TCGA-44-2661-01A-01R-1107-07,TCGA-78-7143-01A-11R-2039-07,TCGA-55-7816-01A-11R-2170-07,TCGA-38-4628-01A-01R-1206-07,TCGA-05-4402-01A-01R-1206-07,TCGA-49-4512-01A-21R-1858-07,TCGA-91-8497-01A-11R-2403-07,TCGA-86-8668-01A-11R-2403-07,TCGA-73-7499-01A-11R-2187-07,TCGA-62-8397-01A-11R-2326-07,TCGA-55-A57B-01A-12R-A39D-07,TCGA-05-5715-01A-01R-1628-07,TCGA-55-8087-01A-11R-2241-07,TCGA-99-8033-01A-11R-2241-07,TCGA-50-6597-01A-11R-1858-07,TCGA-67-3772-01A-01R-0946-07,TCGA-44-2665-01A-01R-0946-07,TCGA-86-8075-01A-11R-2241-07,TCGA-55-8513-01A-11R-2403-07,TCGA-J2-A4AE-01A-21R-A24H-07,TCGA-62-8395-01A-11R-2326-07,TCGA-62-A46Y-01A-11R-A24H-07,TCGA-86-A4P7-01A-11R-A24X-07,TCGA-49-4501-01A-01R-1206-07,TCGA-62-8394-01A-11R-2326-07,TCGA-55-8619-01A-11R-2403-07,TCGA-62-8402-01A-11R-2326-07,TCGA-97-8552-01A-11R-2403-07,TCGA-50-6673-01A-11R-1949-07,TCGA-49-AAQV-01A-11R-A39D-07,TCGA-95-8039-01A-11R-2241-07,TCGA-50-5066-01A-01R-1628-07,TCGA-86-8585-01A-11R-2403-07,TCGA-69-7760-01A-11R-2170-07,TCGA-05-5429-01A-01R-1628-07,TCGA-86-8279-01A-11R-2287-07,TCGA-93-A4JP-01A-11R-A24X-07,TCGA-86-7701-01A-11R-2170-07,TCGA-86-6562-01A-11R-1755-07,TCGA-55-8505-01A-11R-2403-07,TCGA-55-7815-01A-11R-2170-07,TCGA-86-8672-01A-21R-2403-07,TCGA-55-8206-01A-11R-2241-07,TCGA-86-8076-01A-31R-2241-07,TCGA-86-7955-01A-11R-2187-07,TCGA-55-6978-01A-11R-1949-07,TCGA-86-7713-01A-11R-2066-07,TCGA-35-3615-01A-01R-0946-07,TCGA-55-6980-01A-11R-1949-07
ENSG00000136110,8,4,0,0,1732,6,7,194,1,3,1,0,18,4,0,73,1602,78388,2,0,0,2,2,103,126,2,3,1,119,1,96,3,4,0,493,2,14,6,1,1,1,2,0,19,27,0,0,1,1,0
ENSG00000177108,2,0,0,0,28,0,3,10,0,0,0,3,0,0,0,1,2,0,1,2,0,1,1,5,12,5,4,992,2,2,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,2,0
ENSG00000248300,1,0,0,514,0,1,0,4,0,0,0,2,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000142515,0,0,9,0,1,0,0,8,0,53,0,0,0,0,0,0,0,0,0,1,1004,1,0,1,3,1,1,0,1,0,1,1,0,0,2,1,0,1,1,1,0,0,1,1,2,0,0,1,0,0
ENSG00000125255,30,4,0,0,0,3,0,18,14,0,18,1,24,11385,0,0,0,0,0,6,0,1,0,4,33,3,4,2,2,2,0,0,15,0,0,8,2,0,1,2,0,0,0,5,1,2,4,0,1,1
ENSG00000230805,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,94,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270816,2,0,3,21,1,674,0,0,0,33,0,614,0,5,1,0,1,0,0,0,1,1,0,1,5,0,0,3,0,437,2,1,3,0,0,0,0,11,4,1,0,0,0,0,7,0,1,0,0,0
ENSG00000161055,39974,20563,8104,88,29154,9158,4380,19146,74662,158685,84,1201,766,51022,715,538,51508,140,4290,11535,235870,3678,7760,6708,25195,514,4886,5706,109471,1974,13316,2643,1321,2373,21,674,2503,651,229,1888,37,2,49,10212,9992,155,622,155,1456,987
ENSG00000092054,4,2,1,6,1,5,1,0,1,3345,0,0,5,0,1,3,1,0,0,1,4,3,5,0,1,6,1,19,6,28,15,15,1,1,1,2,0,0,0,1,0,0,1,2,10,2,5,3,1,0
ENSG00000253593,13,223,1,8,1,0,3,2,2,2,533,109,3,10,1,0,96,5,0,0,4,18,3,6,24,1,3,1,0,21,79,8,10,2,2,0,2,0,2,0,4,2,4,11,4,1,1,1,4,3
ENSG00000152092,21,7,4,2574,1,11,6,41,14,37,6,22,2,8,1,6,12,18,16,10,6,21,2,8,78,2,6,0,11,8,6,12,11,1,5,1,1,15,5,3,0,0,0,42,10,3,4,2,4,4
ENSG00000169594,25,14,8,19682,5,36,4,3,8,4,1,9,0,0,8,0,9,6,3,4,0,4,5,6,81,5,4,3,3,5,0,8,2,4,29,8,2,6,5,4,10,2,1,13,6,0,40,0,0,5
ENSG00000204248,141,25,98,43,29,112,27,59,92,41,37,547,4,48,462,239,15,81,210,81,120,87,41,113,79,358,62,48,107,9,271,80,40,44,61,5,148,124,4,5,51,0,56,145,68,37,34,30,24,13
