,TCGA-NJ-A4YQ-01A-11R-A262-07,TCGA-83-5908-01A-21R-2287-07,TCGA-44-3918-01A-01R-A278-07,TCGA-69-7980-01A-11R-2187-07,TCGA-MP-A4TA-01A-21R-A24X-07,TCGA-50-8457-01A-11R-2326-07,TCGA-38-4625-01A-01R-1206-07,TCGA-05-4250-01A-01R-1107-07,TCGA-44-A47A-01A-21R-A24H-07,TCGA-97-7547-01A-11R-2039-07,TCGA-86-8056-01A-11R-2241-07,TCGA-67-6217-01A-11R-1755-07,TCGA-MP-A4T9-01A-11R-A24X-07,TCGA-L9-A444-01A-21R-A24H-07,TCGA-55-8506-01A-11R-2403-07,TCGA-55-7725-01A-11R-2170-07,TCGA-05-4425-01A-01R-1755-07,TCGA-53-7813-01A-11R-2170-07,TCGA-69-8253-01A-11R-2287-07,TCGA-49-6761-01A-31R-1949-07,TCGA-L4-A4E5-01A-11R-A24X-07,TCGA-55-A492-01A-11R-A24H-07,TCGA-78-7153-01A-11R-2039-07,TCGA-78-7158-01A-11R-2039-07,TCGA-97-8172-01A-11R-2287-07,TCGA-86-8358-01A-11R-2326-07,TCGA-05-5425-01A-02R-1628-07,TCGA-78-7150-01A-21R-2039-07,TCGA-NJ-A4YG-01A-22R-A262-07,TCGA-55-6972-01A-11R-1949-07,TCGA-05-4410-01A-21R-1858-07,TCGA-05-4244-01A-01R-1107-07,TCGA-44-7660-01A-11R-2066-07,TCGA-97-7552-01A-11R-2039-07,TCGA-86-8674-01A-21R-2403-07,TCGA-73-4677-01A-01R-1206-07,TCGA-62-8398-01A-11R-2326-07,TCGA-55-8092-01A-11R-2241-07,TCGA-05-4395-01A-01R-1206-07,TCGA-55-6987-01A-11R-1949-07,TCGA-78-7152-01A-11R-2039-07,TCGA-49-AAR4-01A-12R-A41B-07,TCGA-64-5775-01A-01R-1628-07,TCGA-78-7542-01A-21R-2066-07,TCGA-78-7633-01A-11R-2066-07,TCGA-97-8179-01A-11R-2287-07,TCGA-35-5375-01A-01R-1628-07,TCGA-49-AAR2-01A-11R-A39D-07,TCGA-86-8073-01A-11R-2241-07,TCGA-86-7711-01A-11R-2066-07
ENSG00000242221,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1
ENSG00000231924,0,0,5,0,1,0,0,0,0,0,0,1,593,0,2,0,0,0,0,1294,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000203786,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,2,0,0,0,0,0,0
ENSG00000170162,0,1,0,48,0,0,71172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,39,0,0,0,0,0,1,0,0,0,3,0,0,0,1,8,1,0,3,1,0,12,1
ENSG00000203857,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,3,0
ENSG00000175535,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243137,11,0,0,0,0,0,0,0,0,1,1,0,6,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,2,20,0,0,1,1,0,0,0,1,2,12,18,0,0,80,0,4,0
ENSG00000236731,2,0,1,0,0,1,0,0,0,2,2,1,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,79,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
ENSG00000268864,2,0,2,5,2,1,1,0,0,0,2,0,4,1,0,1,0,1,1,0,1,0,0,0,7,0,1,1,0,0,0,2,2,0,1,1,0,0,0,2,0,0,0,1,0,2,1,0,4,0
ENSG00000145242,1,4,11,2,1,3,1,0,20,47,7,1,1,1,0,3,34,12,2,3,2,0,2,18730,15,45,0,1,0,0,2,0,3,1,0,3,0,0,0,2,0,1,2,7,2,0,1,0,11,4
ENSG00000146352,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,3,37,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,2,0,1,0
ENSG00000178287,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000236858,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000221826,187,44,73,0,15,0,0,2,0,0,2,0,249,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,6,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,76,0
ENSG00000257193,1,0,0,1,2,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,0,0,2,0,0,36,0,7,0,1,1,0,0,0,0,0,0,0,0,0,2,1,4
ENSG00000264706,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
